13756,भोट
13106,एमाले
9032,नेपाली
6577,मेयर
4849,कांग्रेस
4498,नेपाल
4492,देउवा
3015,चुनाव
2728,गठबन्धन
2363,पार्टी
2135,दिन
2026,प्रधानमन्त्री
1901,देश
1751,आज
1720,नेता
1580,काम
1466,भयो
1300,दिने
1270,काङ्ग्रेस
1217,जनता
1216,दल
1204,अहिले
1179,चुनावी
1154,सभापति
1144,हैन
1120,भन्दै
1108,जय
1076,मात्रै
1057,एउटा
1014,छन
960,पर्ने
944,प्रचण्ड
913,ओली
852,पैसा
843,जनताले
837,राजनीति
796,सरकार
777,भएर
751,भो
721,कारण
715,मन
697,हरु
688,जनताको
649,शेरबहादुर
602,जाने
560,केपी
560,देशको
499,नेपालको
400,देउवाले
344,दुर्घटनामा
