12631,एमाले
11246,निर्वाचन
9038,नेपाली
6580,मेयर
6480,उम्मेदवारी
4866,कांग्रेस
4454,देउवा
3590,उम्मेदवार
3091,नेकपा
2645,गठबन्धन
2368,अध्यक्ष
2081,स्वतन्त्र
1924,स्थानीय
1837,प्रधानमन्त्री
1794,स्थानीय_तह
1712,आज
1687,कांग्रेसका
1671,नेता
1568,वडाध्यक्ष
1514,दर्ता
1455,प्रमुख
1129,मेयरमा
1103,हजार
1036,एमालेका
940,जना
932,सभापति
885,निर्वाचनमा
863,पदमा
851,कांग्रेसको
801,एमालेले
776,कांग्रेसले
768,फिर्ता
764,स्थानीय_तहको
742,महिला
715,चुनावी
703,उपमेयरमा
664,जनाको
657,बागी
620,अग्रता
594,दिएका
495,गठबन्धनको
473,सय
444,उम्मेदवारको
437,निर्णय
410,उम्मेदवारले
389,एमालेबाट
383,सत्तारुढ
336,राजीनामा
325,स्थानीय_तहमा
264,जनाले
