12631,एमाले
9038,नेपाली
6580,मेयर
4866,कांग्रेस
4454,देउवा
4417,नेपाल
3590,उम्मेदवार
3478,मत
3165,नगरपालिका
3110,विजयी
3091,नेकपा
2448,मतदान
2368,अध्यक्ष
1918,वडा
1837,प्रधानमन्त्री
1687,कांग्रेसका
1671,नेता
1668,माओवादी
1568,वडाध्यक्ष
1455,प्रमुख
1047,जय
1036,एमालेका
1023,निर्वाचित
1014,भएका
932,सभापति
876,काँग्रेस
863,पदमा
851,कांग्रेसको
846,एमालेको
804,४
794,मतगणना
728,सदस्य
713,गाउँपालिका
701,वडा_नं
611,प्रमुखमा
566,अध्यक्षमा
556,वडामा
551,भ
526,नगरपालिकामा
519,वडा_नम्बर
507,उपाध्यक्ष
503,नगरपालिकाको
500,सहित
489,माओवादी_केन्द्र
484,गाउँपालिकामा
466,शुभकामना
425,उपाध्यक्षमा
398,प्राप्त
382,बिजयी
321,राष्ट्रिय
