13757,भोट
12631,एमाले
11246,निर्वाचन
9038,नेपाली
4454,देउवा
4417,नेपाल
3478,मत
2894,चुनाव
2448,मतदान
2280,भनेर
2211,पार्टी
2110,होला
2108,दिन
1942,अनि
1924,स्थानीय
1712,आज
1671,नेता
1571,देश
1567,काम
1411,है
1249,जनता
1188,दल
1172,दिने
1169,अहिले
1144,हैन
1139,कति
1119,भयो
1107,भन्दै
1050,हाल्न
1038,आयोगले
1032,रे
1014,छन
977,मात्रै
972,एउटा
910,प्रचण्ड
860,आयोग
852,पर्ने
836,राजनीति
816,जनताले
816,चुनावमा
761,भएर
755,मान्छे
735,भो
733,सरकार
718,हाल्ने
690,मन
666,घर
631,मतदाता
623,पैसा
575,माग्न
