12582,एमाले
10825,निर्वाचन
8997,नेपाली
4788,कांग्रेस
4239,नेपाल
4137,देउवा
2997,विजयी
2591,नगरपालिका
2581,गठबन्धन
2265,अध्यक्ष
2225,मतदान
2075,दिन
1737,स्थानीय
1705,आज
1671,नेता
1646,कांग्रेसका
1640,प्रधानमन्त्री
1506,स्थानीय_तह
1337,प्रमुख
1037,जय
1020,आयोगले
912,सभापति
879,निर्वाचनमा
876,काँग्रेस
860,आयोग
850,प्रचण्ड
690,कांग्रेसको
680,ओली
662,स्थानीय_तहको
629,कारण
610,चुनावी
608,गाउँपालिका
425,उपाध्यक्षमा
422,सम्पन्न
396,सुरु
356,अध्यक्षमा
349,शुभकामना
279,देउवाले
278,पराजित
261,सम्पूर्ण
259,ओलीको
256,ओलीले
240,भारतीय
198,एवं
184,राजीना
174,कार्यालय
163,सम्पुर्ण
158,राई
134,पुगे
131,सहभागी
